gn,fileId,source,title,no_icon,no_dance,no_preview,missing,fallback
sdom0251,10251,SDO-X Alchemist,愛拼才會贏,1,0,0,icon,預設圖
sdom0252,10252,SDO-X Alchemist,Da' Bomb,1,0,0,icon,預設圖
sdom0253,10253,SDO-X Alchemist,Bad Day,1,0,0,icon,預設圖
sdom0254,10254,SDO-X Alchemist,Stupid girl,1,0,0,icon,預設圖
sdom0255,10255,SDO-X Alchemist,Beep (feat will i am),1,0,0,icon,預設圖
sdom0256,10256,SDO-X Alchemist,Still Alive,1,0,0,icon,預設圖
sdom0257,10257,SDO-X Alchemist,快D快樂,1,0,0,icon,預設圖
sdom0258,10258,SDO-X Alchemist,Blue,1,0,0,icon,預設圖
sdom0309,10309,SDO-X Alchemist,天灰灰的,0,1,0,dance,通用舞蹈
sdom0330,10330,SDO-X Alchemist,唯舞獨尊(remix串燒 ),1,1,0,icon+dance,預設圖; 通用舞蹈
sdom0348,10348,SDO-X Alchemist,雪聖誕,0,1,0,dance,通用舞蹈
sdom0397,10397,SDO-X Alchemist,Crazy in love,1,1,0,icon+dance,預設圖; 通用舞蹈
sdom0574,10574,SDO-X Alchemist,小心女人,0,1,0,dance,通用舞蹈
sdom0575,10575,SDO-X Alchemist,愛是…,0,1,0,dance,通用舞蹈
sdom0576,10576,SDO-X Alchemist,獨家試唱,0,1,0,dance,通用舞蹈
sdom0577,10577,SDO-X Alchemist,煞科,0,1,0,dance,通用舞蹈
sdom0578,10578,SDO-X Alchemist,比堅尼,0,1,0,dance,通用舞蹈
sdom0579,10579,SDO-X Alchemist,小峽谷,0,1,0,dance,通用舞蹈
sdom0580,10580,SDO-X Alchemist,奇洛李維斯回信,0,1,0,dance,通用舞蹈
sdom0581,10581,SDO-X Alchemist,糖不甩,0,1,0,dance,通用舞蹈
sdom0582,10582,SDO-X Alchemist,薛凱琪,0,1,0,dance,通用舞蹈
sdom0583,10583,SDO-X Alchemist,無忌,0,1,0,dance,通用舞蹈
sdom0584,10584,SDO-X Alchemist,失意諒解備忘錄,0,1,0,dance,通用舞蹈
sdom0585,10585,SDO-X Alchemist,sailor and machine gun,0,1,0,dance,通用舞蹈
sdom0586,10586,SDO-X Alchemist,一變傾城,0,1,0,dance,通用舞蹈
sdom0587,10587,SDO-X Alchemist,唱這歌,0,1,0,dance,通用舞蹈
sdom0588,10588,SDO-X Alchemist,PARA PARA SAKURA,0,1,0,dance,通用舞蹈
sdom0589,10589,SDO-X Alchemist,搖滾叛徒,0,1,0,dance,通用舞蹈
sdom0590,10590,SDO-X Alchemist,地下街,1,1,0,icon+dance,預設圖; 通用舞蹈
sdom0591,10591,SDO-X Alchemist,目黑,1,1,0,icon+dance,預設圖; 通用舞蹈
sdom0592,10592,SDO-X Alchemist,不敵,0,1,0,dance,通用舞蹈
sdom0593,10593,SDO-X Alchemist,我們的愛,0,1,0,dance,通用舞蹈
sdom0594,10594,SDO-X Alchemist,千年之戀,0,1,0,dance,通用舞蹈
sdom0595,10595,SDO-X Alchemist,無限,0,1,0,dance,通用舞蹈
sdom0596,10596,SDO-X Alchemist,把愛放開,0,1,0,dance,通用舞蹈
sdom0985,10985,SDO-X Alchemist,牛仔很忙,0,1,0,dance,通用舞蹈
sdom1112,11112,SDO-X Alchemist,Monster,0,0,1,preview,主音樂中段20s loop
sdom1113,11113,SDO-X Alchemist,Fanstatic Baby,1,1,1,icon+dance+preview,預設圖; 通用舞蹈; 主音樂中段20s loop
sdom1771,11771,SDO-X Alchemist,Through My Window,0,1,0,dance,通用舞蹈
sdom1963,11963,SDO-X Alchemist,單程車票,0,1,0,dance,通用舞蹈
sdom1964,11964,SDO-X Alchemist,RPG,0,1,0,dance,通用舞蹈
sdom1966,11966,SDO-X Alchemist,Lacrimosa,0,1,0,dance,通用舞蹈
sdom1967,11967,SDO-X Alchemist,そばにいてあげる,0,1,0,dance,通用舞蹈
sdom1969,11969,SDO-X Alchemist,就在,0,1,0,dance,通用舞蹈
sdom1970,11970,SDO-X Alchemist,要我的命,0,1,0,dance,通用舞蹈
sdom1972,11972,SDO-X Alchemist,迷迷羊,0,1,0,dance,通用舞蹈
sdom1973,11973,SDO-X Alchemist,任性,0,1,0,dance,通用舞蹈
sdom5010,15010,SDO-X Alchemist,Forever Young,1,0,0,icon,預設圖
sdom5011,15011,SDO-X Alchemist,Blazability,1,0,0,icon,預設圖
sdom5012,15012,SDO-X Alchemist,My Colorful Confuse,1,0,0,icon,預設圖
sdom5013,15013,SDO-X Alchemist,Wedding Dress,1,0,1,icon+preview,預設圖; 主音樂中段20s loop
sdom5014,15014,SDO-X Alchemist,Uso,1,0,0,icon,預設圖
sdom5015,15015,SDO-X Alchemist,Catch Me,1,0,0,icon,預設圖
sdom5016,15016,SDO-X Alchemist,Explosive,1,0,0,icon,預設圖
sdom5017,15017,SDO-X Alchemist,Phantom of Blue,1,0,0,icon,預設圖
sdom5018,15018,SDO-X Alchemist,Jihad,1,0,0,icon,預設圖
sdom5019,15019,SDO-X Alchemist,V,1,0,1,icon+preview,預設圖; 主音樂中段20s loop
sdom5020,15020,SDO-X Alchemist,V2,0,0,1,preview,主音樂中段20s loop
sdom5023,15023,SDO-X Alchemist,Silly-Go-Round,0,0,1,preview,主音樂中段20s loop
sdom5024,15024,SDO-X Alchemist,Heartbreaker,0,0,1,preview,主音樂中段20s loop
sdom5025,15025,SDO-X Alchemist,Crayon,0,0,1,preview,主音樂中段20s loop
sdom5026,15026,SDO-X Alchemist,I Got A Boy,0,0,1,preview,主音樂中段20s loop
sdom5027,15027,SDO-X Alchemist,Pandora,0,0,1,preview,主音樂中段20s loop
sdom5029,15029,SDO-X Alchemist,Tonight,0,0,1,preview,主音樂中段20s loop
sdom5030,15030,SDO-X Alchemist,Guren no Yumiya,1,0,0,icon,預設圖
sdom5033,15033,SDO-X Alchemist,Gentleman,1,0,1,icon+preview,預設圖; 主音樂中段20s loop
sdom5035,15035,SDO-X Alchemist,Shinsekai,1,0,0,icon,預設圖
sdom5051,15051,SDO-X Alchemist,Akasagarbha,1,0,0,icon,預設圖
sdom5053,15053,SDO-X Alchemist,THE HERO !!,1,0,0,icon,預設圖
sdom5070,15070,SDO-X Alchemist,Sorceress Elise,1,0,0,icon,預設圖
sdom5071,15071,SDO-X Alchemist,Raison D'etre,1,0,0,icon,預設圖
sdom5072,15072,SDO-X Alchemist,Odin,1,0,0,icon,預設圖
sdom5073,15073,SDO-X Alchemist,Holy Knight,1,0,0,icon,預設圖
sdom5074,15074,SDO-X Alchemist,Catch Me If You Can,1,0,0,icon,預設圖
sdom5079,15079,SDO-X Alchemist,Beautiful,1,0,0,icon,預設圖
